,No,year,month,day,hour,season,PM_Taiyuanjie,PM_US Post,PM_Xiaoheyan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,sum,count,ave
31,32,2010,1,2,7,4,,,,-27,69.56,1025,-23,NE,8.7455,,,0,0,
32,33,2010,1,2,8,4,,,,-27,76.07,1026,-24,NE,9.7744,,,0,0,
33,34,2010,1,2,9,4,,,,-25,70.03,1026,-21,cv,0.5144,,,0,0,
34,35,2010,1,2,10,4,,,,-25,58.89,1026,-19,SE,0.5144,,,0,0,
35,36,2010,1,2,11,4,,,,-24,54.37,1026,-17,NW,1.5433,,,0,0,
36,37,2010,1,2,12,4,,,,-24,50,1026,-16,NW,3.6011,,,0,0,
37,38,2010,1,2,13,4,,,,-24,50,1026,-16,NE,2.5722,,,0,0,
38,39,2010,1,2,14,4,,,,-24,50,1026,-16,NW,2.0578,,,0,0,
39,40,2010,1,2,15,4,,,,-24,50,1026,-16,NE,2.0578,,,0,0,
40,41,2010,1,2,16,4,,,,-24,54.37,1027,-17,NW,1.5433,,,0,0,
41,42,2010,1,2,17,4,,,,-24,54.37,1028,-17,NE,2.0578,,,0,0,
42,43,2010,1,2,18,4,,,,-25,58.89,1028,-19,NE,3.0867,,,0,0,
43,44,2010,1,2,19,4,,,,-25,58.89,1029,-19,cv,0.5144,,,0,0,
44,45,2010,1,2,20,4,,,,-26,69.79,1029,-22,NE,0.5144,,,0,0,
45,46,2010,1,2,21,4,,,,-29,69.08,1029,-25,SE,0.5144,,,0,0,
46,47,2010,1,2,22,4,,,,-28,75.87,1029,-25,SE,1.5433,,,0,0,
47,48,2010,1,2,23,4,,,,-29,75.67,1029,-26,SE,2.0577,,,0,0,
48,49,2010,1,3,0,4,,,,-30,75.47,1029,-27,SE,2.5721,,,0,0,
49,50,2010,1,3,1,4,,,,-29,75.67,1029,-26,SE,3.601,,,0,0,
50,51,2010,1,3,2,4,,,,-29,75.67,1029,-26,SE,5.1443,,,0,0,
51,52,2010,1,3,3,4,,,,-30,75.47,1029,-27,SE,6.1732,,,0,0,
52,53,2010,1,3,4,4,,,,-31,68.59,1029,-27,cv,0,,,0,0,
53,54,2010,1,3,5,4,,,,-31,75.27,1029,-28,cv,0.5144,,,0,0,
54,55,2010,1,3,6,4,,,,-31,75.27,1029,-28,NE,1.0289,,,0,0,
55,56,2010,1,3,7,4,,,,-31,75.27,1029,-28,NE,1.5433,,,0,0,
56,57,2010,1,3,8,4,,,,-31,68.59,1029,-27,NE,3.0866,,,0,0,
57,58,2010,1,3,9,4,,,,-28,75.87,1029,-25,NE,4.6299,,,0,0,
58,59,2010,1,3,10,4,,,,-27,69.56,1029,-23,NE,6.1732,,,0,0,
59,60,2010,1,3,11,4,,,,-25,70.03,1028,-21,NE,8.231,,,0,0,
60,61,2010,1,3,12,4,,,,-23,70.49,1026,-19,NE,10.8032,,,0,0,
61,62,2010,1,3,13,4,,,,-22,64.97,1025,-17,NE,13.3754,,,0,0,
62,63,2010,1,3,14,4,,,,-22,59.74,1025,-16,NE,14.9187,,,0,0,
63,64,2010,1,3,15,4,,,,-23,54.68,1025,-16,NE,16.462,,,0,0,
64,65,2010,1,3,16,4,,,,-23,54.68,1024,-16,NE,18.5198,,,0,0,
65,66,2010,1,3,17,4,,,,-23,59.46,1025,-17,NE,20.0631,,,0,0,
66,67,2010,1,3,18,4,,,,-23,59.46,1025,-17,NE,22.6353,,,0,0,
67,68,2010,1,3,19,4,,,,-23,59.46,1024,-17,NE,24.6931,,,0,0,
68,69,2010,1,3,20,4,,,,-22,59.74,1025,-16,NW,1.5433,,,0,0,
69,70,2010,1,3,21,4,,,,-22,59.74,1025,-16,NW,3.0866,,,0,0,
70,71,2010,1,3,22,4,,,,-22,64.97,1024,-17,NE,1.5433,,,0,0,
71,72,2010,1,3,23,4,,,,-22,64.97,1024,-17,NE,3.0866,,,0,0,
72,73,2010,1,4,0,4,,,,-22,70.71,1023,-18,NE,4.1155,,,0,0,
73,74,2010,1,4,1,4,,,,-22,70.71,1023,-18,NW,1.5433,,,0,0,
74,75,2010,1,4,2,4,,,,-22,70.71,1023,-18,NW,3.0866,,,0,0,
75,76,2010,1,4,3,4,,,,-23,64.72,1022,-18,NW,4.6299,,,0,0,
76,77,2010,1,4,4,4,,,,-23,64.72,1022,-18,NW,6.1732,,,0,0,
77,78,2010,1,4,5,4,,,,-24,64.46,1023,-19,NW,8.231,,,0,0,
78,79,2010,1,4,6,4,,,,-24,70.26,1023,-20,NE,1.5433,,,0,0,
79,80,2010,1,4,7,4,,,,-25,64.19,1023,-20,NW,2.0578,,,0,0,
80,81,2010,1,4,8,4,,,,-25,64.19,1023,-20,NE,3.0867,,,0,0,
81,82,2010,1,4,9,4,,,,-24,70.26,1024,-20,NE,6.1734,,,0,0,
82,83,2010,1,4,10,4,,,,-24,59.18,1024,-18,NW,3.0867,,,0,0,
83,84,2010,1,4,11,4,,,,-24,54.37,1023,-17,NW,6.6878,,,0,0,
84,85,2010,1,4,12,4,,,,-24,54.37,1023,-17,NE,4.1156,,,0,0,
85,86,2010,1,4,13,4,,,,-24,54.37,1023,-17,NW,3.0867,,,0,0,
86,87,2010,1,4,14,4,,,,-24,54.37,1024,-17,NW,6.6878,,,0,0,
87,88,2010,1,4,15,4,,,,-23,59.46,1024,-17,NW,9.7745,,,0,0,
88,89,2010,1,4,16,4,,,,-23,64.72,1025,-18,NW,11.8323,,,0,0,
89,90,2010,1,4,17,4,,,,-23,64.72,1026,-18,NW,13.3756,,,0,0,
90,91,2010,1,4,18,4,,,,-24,64.46,1026,-19,NE,1.5433,,,0,0,
91,92,2010,1,4,19,4,,,,-24,64.46,1027,-19,NE,2.5722,,,0,0,
92,93,2010,1,4,20,4,,,,-24,70.26,1027,-20,NE,4.1155,,,0,0,
93,94,2010,1,4,21,4,,,,-24,70.26,1028,-20,NE,5.1444,,,0,0,
94,95,2010,1,4,22,4,,,,-25,76.46,1028,-22,cv,0,,,0,0,
95,96,2010,1,4,23,4,,,,-27,76.07,1028,-24,SW,0.5144,,,0,0,
96,97,2010,1,5,0,4,,,,-26,83.4,1028,-24,SE,0.5144,,,0,0,
97,98,2010,1,5,1,4,,,,-25,76.46,1028,-22,SW,1.0289,,,0,0,
98,99,2010,1,5,2,4,,,,-24,83.68,1029,-22,SW,2.0578,,,0,0,
99,100,2010,1,5,3,4,,,,-24,76.65,1029,-21,SW,3.0867,,,0,0,
100,101,2010,1,5,4,4,,,,-26,76.26,1029,-23,cv,0.5144,,,0,0,
101,102,2010,1,5,5,4,,,,-27,76.07,1029,-24,SE,0.5144,,,0,0,
102,103,2010,1,5,6,4,,,,-26,83.4,1029,-24,SE,1.5433,,,0,0,
103,104,2010,1,5,7,4,,,,-27,76.07,1029,-24,SW,1.0289,,,0,0,
104,105,2010,1,5,8,4,,,,-26,76.26,1030,-23,SW,2.0578,,,0,0,
105,106,2010,1,5,9,4,,,,-25,70.03,1030,-21,SW,2.5722,,,0,0,
106,107,2010,1,5,10,4,,,,-24,64.46,1031,-19,SW,3.6011,,,0,0,
107,108,2010,1,5,11,4,,,,-24,59.18,1030,-18,SW,4.1155,,,0,0,
108,109,2010,1,5,12,4,,,,-24,54.37,1029,-17,SW,5.1444,,,0,0,
109,110,2010,1,5,13,4,,,,-23,54.68,1029,-16,SW,6.1733,,,0,0,
110,111,2010,1,5,14,4,,,,-23,54.68,1029,-16,NW,1.5433,,,0,0,
111,112,2010,1,5,15,4,,,,-23,54.68,1029,-16,NW,3.0866,,,0,0,
112,113,2010,1,5,16,4,,,,-23,59.46,1029,-17,NW,4.1155,,,0,0,
113,114,2010,1,5,17,4,,,,-24,59.18,1029,-18,NW,5.1444,,,0,0,
114,115,2010,1,5,18,4,,,,-25,64.19,1030,-20,cv,0,,,0,0,
115,116,2010,1,5,19,4,,,,-25,70.03,1030,-21,SE,1.0289,,,0,0,
116,117,2010,1,5,20,4,,,,-25,76.46,1030,-22,SE,2.0578,,,0,0,
117,118,2010,1,5,21,4,,,,-25,70.03,1030,-21,SE,3.0867,,,0,0,
118,119,2010,1,5,22,4,,,,-24,76.65,1030,-21,SE,3.6011,,,0,0,
119,120,2010,1,5,23,4,,,,-24,70.26,1030,-20,SE,4.1155,,,0,0,
120,121,2010,1,6,0,4,,,,-24,76.65,1030,-21,cv,0.5144,,,0,0,
121,122,2010,1,6,1,4,,,,-25,76.46,1030,-22,SE,0.5144,,,0,0,
122,123,2010,1,6,2,4,,,,-26,76.26,1031,-23,SE,1.5433,,,0,0,
123,124,2010,1,6,3,4,,,,-27,76.07,1031,-24,SE,2.0577,,,0,0,
124,125,2010,1,6,4,4,,,,-27,76.07,1030,-24,SE,2.5721,,,0,0,
125,126,2010,1,6,5,4,,,,-28,75.87,1031,-25,SW,0.5144,,,0,0,
126,127,2010,1,6,6,4,,,,-28,75.87,1031,-25,SE,0.5144,,,0,0,
127,128,2010,1,6,7,4,,,,-28,75.87,1031,-25,SE,1.0288,,,0,0,
128,129,2010,1,6,8,4,,,,-27,83.26,1031,-25,SE,2.0577,,,0,0,
129,130,2010,1,6,9,4,,,,-25,76.46,1032,-22,SW,0.5144,,,0,0,
130,131,2010,1,6,10,4,,,,-23,76.84,1032,-20,SW,1.5433,,,0,0,
131,132,2010,1,6,11,4,,,,-22,70.71,1032,-18,SW,2.5722,,,0,0,
132,133,2010,1,6,12,4,,,,-21,70.94,1031,-17,SW,3.6011,,,0,0,
133,134,2010,1,6,13,4,,,,-20,71.16,1031,-16,SW,4.63,,,0,0,
134,135,2010,1,6,14,4,,,,-19,71.38,1031,-15,SW,6.1733,,,0,0,
135,136,2010,1,6,15,4,,,,-19,71.38,1031,-15,NW,1.5433,,,0,0,
136,137,2010,1,6,16,4,,,,-19,77.57,1031,-16,NW,2.5722,,,0,0,
137,138,2010,1,6,17,4,,,,-20,71.16,1031,-16,NW,3.6011,,,0,0,
138,139,2010,1,6,18,4,,,,-21,77.21,1032,-18,SE,0.5144,,,0,0,
139,140,2010,1,6,19,4,,,,-21,84.09,1032,-19,SE,1.0288,,,0,0,
140,141,2010,1,6,20,4,,,,-20,77.39,1032,-17,SE,1.5432,,,0,0,
141,142,2010,1,6,21,4,,,,-20,77.39,1032,-17,SE,2.0576,,,0,0,
142,143,2010,1,6,22,4,,,,-20,77.39,1032,-17,cv,0.5144,,,0,0,
143,144,2010,1,6,23,4,,,,-19,84.36,1032,-17,SW,0.5144,,,0,0,
144,145,2010,1,7,0,4,,,,-20,77.39,1032,-17,SE,1.0289,,,0,0,
145,146,2010,1,7,1,4,,,,-20,84.23,1032,-18,SE,2.0578,,,0,0,
146,147,2010,1,7,2,4,,,,-21,84.09,1032,-19,SE,3.0867,,,0,0,
147,148,2010,1,7,3,4,,,,-21,84.09,1032,-19,SE,3.6011,,,0,0,
148,149,2010,1,7,4,4,,,,-20,84.23,1032,-18,cv,0.5144,,,0,0,
149,150,2010,1,7,5,4,,,,-20,84.23,1032,-18,SE,0.5144,,,0,0,
150,151,2010,1,7,6,4,,,,-20,84.23,1032,-18,cv,0,,,0,0,
151,152,2010,1,7,7,4,,,,-19,84.36,1032,-17,SE,0.5144,,,0,0,
152,153,2010,1,7,8,4,,,,-19,84.36,1033,-17,SE,1.0288,,,0,0,
153,154,2010,1,7,9,4,,,,-19,84.36,1033,-17,SW,0.5144,,,0,0,
154,155,2010,1,7,10,4,,,,-18,77.75,1033,-15,cv,0.5144,,,0,0,
155,156,2010,1,7,11,4,,,,-18,65.98,1032,-13,cv,1.0288,,,0,0,
156,157,2010,1,7,12,4,,,,-17,71.81,1032,-13,SW,0.5144,,,0,0,
157,158,2010,1,7,13,4,,,,-16,66.47,1031,-11,cv,0.5144,,,0,0,
158,159,2010,1,7,14,4,,,,-16,66.47,1031,-11,SW,1.0289,,,0,0,
159,160,2010,1,7,15,4,,,,-16,66.47,1031,-11,NE,2.0578,,,0,0,
160,161,2010,1,7,16,4,,,,-16,72.02,1031,-12,NE,3.0867,,,0,0,
161,162,2010,1,7,17,4,,,,-17,71.81,1031,-13,NE,4.1156,,,0,0,
162,163,2010,1,7,18,4,,,,-18,77.75,1031,-15,NE,5.6589,,,0,0,
163,164,2010,1,7,19,4,,,,-18,77.75,1031,-15,NE,6.6878,,,0,0,
164,165,2010,1,7,20,4,,,,-20,77.39,1031,-17,NE,7.2022,,,0,0,
165,166,2010,1,7,21,4,,,,-22,83.96,1030,-20,NE,7.7166,,,0,0,
166,167,2010,1,7,22,4,,,,-23,83.82,1030,-21,cv,0.5144,,,0,0,
167,168,2010,1,7,23,4,,,,-23,83.82,1030,-21,SE,0.5144,,,0,0,
168,169,2010,1,8,0,4,,,,-23,83.82,1030,-21,SE,1.0288,,,0,0,
169,170,2010,1,8,1,4,,,,-23,76.84,1030,-20,SW,0.5144,,,0,0,
170,171,2010,1,8,2,4,,,,-22,83.96,1029,-20,SE,1.0289,,,0,0,
171,172,2010,1,8,3,4,,,,-23,83.82,1029,-21,cv,0.5144,,,0,0,
172,173,2010,1,8,4,4,,,,-19,84.36,1028,-17,SE,1.5433,,,0,0,
173,174,2010,1,8,5,4,,,,-18,84.49,1028,-16,SE,2.0577,,,0,0,
174,175,2010,1,8,6,4,,,,-18,77.75,1029,-15,NW,0.5144,,,0,0,
175,176,2010,1,8,7,4,,,,-17,84.62,1029,-15,NE,0.5144,,,0,0,
176,177,2010,1,8,8,4,,,,-17,84.62,1029,-15,NE,1.0288,,,0,0,
177,178,2010,1,8,9,4,,,,-16,84.74,1029,-14,cv,0.5144,,,0,0,
178,179,2010,1,8,10,4,,,,-15,84.87,1029,-13,cv,1.0288,,,0,0,
179,180,2010,1,8,11,4,,,,-14,78.44,1028,-11,SE,1.0289,,,0,0,
180,181,2010,1,8,12,4,,,,-13,78.61,1027,-10,NE,1.0289,,,0,0,
181,182,2010,1,8,13,4,,,,-12,72.85,1026,-8,NE,2.5722,,,0,0,
182,183,2010,1,8,14,4,,,,-12,72.85,1026,-8,NE,4.63,,,0,0,
183,184,2010,1,8,15,4,,,,-12,67.42,1026,-7,NE,5.6589,,,0,0,
184,185,2010,1,8,16,4,,,,-13,72.65,1026,-9,NW,0.5144,,,0,0,
185,186,2010,1,8,17,4,,,,-14,72.44,1025,-10,NE,1.0289,,,0,0,
186,187,2010,1,8,18,4,,,,-13,78.61,1025,-10,NE,2.5722,,,0,0,
187,188,2010,1,8,19,4,,,,-13,85.11,1025,-11,NE,4.1155,,,0,0,
188,189,2010,1,8,20,4,,,,-14,84.99,1025,-12,NE,5.1444,,,0,0,
189,190,2010,1,8,21,4,,,,-14,92.16,1025,-13,NE,6.1733,,,0,0,
190,191,2010,1,8,22,4,,,,-15,84.87,1025,-13,NE,7.7166,,,0,0,
191,192,2010,1,8,23,4,,,,-14,84.99,1025,-12,NE,8.7455,,,0,0,
192,193,2010,1,9,0,4,,,,-13,85.11,1025,-11,NE,9.7744,,,0,0,
193,194,2010,1,9,1,4,,,,-13,85.11,1025,-11,NE,10.2888,,,0,0,
194,195,2010,1,9,2,4,,,,-13,85.11,1025,-11,SE,0.5144,,,0,0,
195,196,2010,1,9,3,4,,,,-13,85.11,1025,-11,SE,1.5433,,,0,0,
196,197,2010,1,9,4,4,,,,-13,85.11,1024,-11,cv,0,,,0,0,
197,198,2010,1,9,5,4,,,,-13,85.11,1024,-11,NE,1.0289,,,0,0,
198,199,2010,1,9,6,4,,,,-12,85.23,1024,-10,NE,3.0867,,,0,0,
199,200,2010,1,9,7,4,,,,-12,85.23,1025,-10,NE,5.1445,,,0,0,
200,201,2010,1,9,8,4,,,,-11,92.36,1025,-10,NE,6.6878,,,0,0,
201,202,2010,1,9,9,4,,,,-10,92.42,1025,-9,NE,7.7167,,,0,0,
202,203,2010,1,9,10,4,,,,-10,85.47,1026,-8,NE,9.26,,,0,0,
203,204,2010,1,9,11,4,,,,-9,85.59,1025,-7,NE,11.3178,,,0,0,
204,205,2010,1,9,12,4,,,,-9,79.26,1025,-6,NE,13.3756,,,0,0,
205,206,2010,1,9,13,4,,,,-9,79.26,1025,-6,NE,15.4334,,,0,0,
206,207,2010,1,9,14,4,,,,-9,79.26,1026,-6,NW,2.5722,,,0,0,
207,208,2010,1,9,15,4,,,,-9,85.59,1027,-7,NW,4.63,,,0,0,
208,209,2010,1,9,16,4,,,,-11,78.94,1027,-8,NW,6.6878,,,0,0,
209,210,2010,1,9,17,4,,,,-12,72.85,1029,-8,NW,8.7456,,,0,0,
210,211,2010,1,9,18,4,,,,-12,78.77,1029,-9,NW,11.3178,,,0,0,
211,212,2010,1,9,19,4,,,,-13,78.61,1030,-10,NE,3.0867,,,0,0,
212,213,2010,1,9,20,4,,,,-14,78.44,1030,-11,NW,1.5433,,,0,0,
213,214,2010,1,9,21,4,,,,-14,84.99,1031,-12,NW,3.0866,,,0,0,
214,215,2010,1,9,22,4,,,,-15,92.09,1031,-14,NW,4.1155,,,0,0,
215,216,2010,1,9,23,4,,,,-15,78.27,1031,-12,NW,5.1444,,,0,0,
216,217,2010,1,10,0,4,,,,-19,84.36,1031,-17,SW,0.5144,,,0,0,
217,218,2010,1,10,1,4,,,,-18,91.88,1031,-17,SW,1.5433,,,0,0,
218,219,2010,1,10,2,4,,,,-18,84.49,1031,-16,SW,2.0577,,,0,0,
219,220,2010,1,10,3,4,,,,-17,91.95,1031,-16,cv,0.5144,,,0,0,
220,221,2010,1,10,4,4,,,,-17,84.62,1031,-15,cv,1.0288,,,0,0,
221,222,2010,1,10,5,4,,,,-16,92.02,1031,-15,cv,1.5432,,,0,0,
222,223,2010,1,10,6,4,,,,-16,84.74,1032,-14,cv,2.0576,,,0,0,
223,224,2010,1,10,7,4,,,,-16,84.74,1032,-14,SE,1.0289,,,0,0,
224,225,2010,1,10,8,4,,,,-16,84.74,1032,-14,SE,1.5433,,,0,0,
225,226,2010,1,10,9,4,,,,-15,84.87,1032,-13,cv,0.5144,,,0,0,
226,227,2010,1,10,10,4,,,,-13,85.11,1032,-11,cv,0.5144,,,0,0,
227,228,2010,1,10,11,4,,,,-13,78.61,1031,-10,cv,0.5144,,,0,0,
228,229,2010,1,10,12,4,,,,-14,72.44,1031,-10,NW,1.0289,,,0,0,
229,230,2010,1,10,13,4,,,,-14,72.44,1030,-10,NW,1.5433,,,0,0,
230,231,2010,1,10,14,4,,,,-13,78.61,1030,-10,NW,2.5722,,,0,0,
231,232,2010,1,10,15,4,,,,-13,78.61,1030,-10,NW,4.1155,,,0,0,
232,233,2010,1,10,16,4,,,,-14,78.44,1030,-11,NW,5.6588,,,0,0,
233,234,2010,1,10,17,4,,,,-16,78.1,1030,-13,NW,6.6877,,,0,0,
234,235,2010,1,10,18,4,,,,-16,78.1,1030,-13,NE,1.0289,,,0,0,
235,236,2010,1,10,19,4,,,,-16,84.74,1030,-14,NE,2.5722,,,0,0,
236,237,2010,1,10,20,4,,,,-16,84.74,1030,-14,NE,3.6011,,,0,0,
237,238,2010,1,10,21,4,,,,-19,84.36,1030,-17,SW,1.0289,,,0,0,
238,239,2010,1,10,22,4,,,,-20,84.23,1031,-18,cv,0,,,0,0,
239,240,2010,1,10,23,4,,,,-19,84.36,1031,-17,SE,0.5144,,,0,0,
240,241,2010,1,11,0,4,,,,-18,84.49,1030,-16,SE,1.5433,,,0,0,
241,242,2010,1,11,1,4,,,,-21,84.09,1030,-19,SE,2.0577,,,0,0,
242,243,2010,1,11,2,4,,,,-22,83.96,1031,-20,SW,0.5144,,,0,0,
243,244,2010,1,11,3,4,,,,-23,83.82,1030,-21,SW,1.0288,,,0,0,
244,245,2010,1,11,4,4,,,,-24,76.65,1030,-21,cv,0,,,0,0,
245,246,2010,1,11,5,4,,,,-25,83.54,1030,-23,SE,1.0289,,,0,0,
246,247,2010,1,11,6,4,,,,-25,76.46,1029,-22,SW,1.0289,,,0,0,
247,248,2010,1,11,7,4,,,,-24,83.68,1029,-22,SW,1.5433,,,0,0,
248,249,2010,1,11,8,4,,,,-25,83.54,1030,-23,SW,2.0577,,,0,0,
249,250,2010,1,11,9,4,,,,-22,83.96,1030,-20,SW,3.0866,,,0,0,
250,251,2010,1,11,10,4,,,,-19,84.36,1031,-17,SW,4.1155,,,0,0,
251,252,2010,1,11,11,4,,,,-18,77.75,1030,-15,SW,5.1444,,,0,0,
252,253,2010,1,11,12,4,,,,-18,60.85,1029,-12,NW,2.0578,,,0,0,
253,254,2010,1,11,13,4,,,,-19,55.87,1029,-12,NW,4.1156,,,0,0,
254,255,2010,1,11,14,4,,,,-19,55.87,1028,-12,NW,6.1734,,,0,0,
255,256,2010,1,11,15,4,,,,-20,51.25,1028,-12,NW,8.2312,,,0,0,
256,257,2010,1,11,16,4,,,,-20,55.57,1028,-13,NW,9.7745,,,0,0,
257,258,2010,1,11,17,4,,,,-21,65.23,1029,-16,NW,11.8323,,,0,0,
258,259,2010,1,11,18,4,,,,-21,65.23,1029,-16,NW,12.8612,,,0,0,
259,260,2010,1,11,19,4,,,,-22,59.74,1029,-16,SW,1.0289,,,0,0,
260,261,2010,1,11,20,4,,,,-24,76.65,1029,-21,SW,1.5433,,,0,0,
261,262,2010,1,11,21,4,,,,-24,76.65,1029,-21,SW,2.5722,,,0,0,
262,263,2010,1,11,22,4,,,,-24,76.65,1028,-21,SW,3.6011,,,0,0,
263,264,2010,1,11,23,4,,,,-23,76.84,1028,-20,SW,4.63,,,0,0,
264,265,2010,1,12,0,4,,,,,,,,,,,,0,0,
265,266,2010,1,12,1,4,,,,-24,76.65,1027,-21,SW,1.0289,,,0,0,
266,267,2010,1,12,2,4,,,,-26,76.26,1027,-23,SW,1.5433,,,0,0,
267,268,2010,1,12,3,4,,,,-26,76.26,1026,-23,SW,2.5722,,,0,0,
268,269,2010,1,12,4,4,,,,-26,76.26,1025,-23,SW,3.6011,,,0,0,
269,270,2010,1,12,5,4,,,,-28,69.32,1025,-24,SW,4.63,,,0,0,
270,271,2010,1,12,6,4,,,,-28,75.87,1025,-25,SW,5.1444,,,0,0,
271,272,2010,1,12,7,4,,,,-29,75.67,1025,-26,SW,6.1733,,,0,0,
272,273,2010,1,12,8,4,,,,-28,75.87,1025,-25,SE,1.0289,,,0,0,
273,274,2010,1,12,9,4,,,,-26,63.93,1025,-21,SW,1.0289,,,0,0,
274,275,2010,1,12,10,4,,,,-25,49.68,1024,-17,SW,3.0867,,,0,0,
275,276,2010,1,12,11,4,,,,-25,49.68,1024,-17,SW,5.6589,,,0,0,
276,277,2010,1,12,12,4,,,,-25,49.68,1023,-17,SW,7.2022,,,0,0,
277,278,2010,1,12,13,4,,,,-25,45.68,1023,-16,SW,9.26,,,0,0,
278,279,2010,1,12,14,4,,,,-25,45.68,1023,-16,SW,11.3178,,,0,0,
279,280,2010,1,12,15,4,,,,-25,45.68,1023,-16,SW,13.3756,,,0,0,
280,281,2010,1,12,16,4,,,,-25,49.68,1023,-17,NW,2.0578,,,0,0,
281,282,2010,1,12,17,4,,,,-25,58.89,1023,-19,NW,3.0867,,,0,0,
282,283,2010,1,12,18,4,,,,-26,63.93,1024,-21,SW,0.5144,,,0,0,
283,284,2010,1,12,19,4,,,,-27,69.56,1024,-23,SW,1.0288,,,0,0,
284,285,2010,1,12,20,4,,,,-26,63.93,1024,-21,SW,2.0577,,,0,0,
285,286,2010,1,12,21,4,,,,-26,69.79,1025,-22,SW,3.601,,,0,0,
286,287,2010,1,12,22,4,,,,-27,69.56,1025,-23,SE,1.0289,,,0,0,
287,288,2010,1,12,23,4,,,,-28,69.32,1025,-24,SE,2.0578,,,0,0,
288,289,2010,1,13,0,4,,,,-27,69.56,1024,-23,SW,1.5433,,,0,0,
289,290,2010,1,13,1,4,,,,-27,76.07,1024,-24,SW,2.5722,,,0,0,
290,291,2010,1,13,2,4,,,,-28,75.87,1025,-25,SW,3.6011,,,0,0,
291,292,2010,1,13,3,4,,,,-27,76.07,1025,-24,SW,5.1444,,,0,0,
292,293,2010,1,13,4,4,,,,-28,75.87,1024,-25,SW,6.1733,,,0,0,
293,294,2010,1,13,5,4,,,,-28,75.87,1024,-25,SW,7.2022,,,0,0,
294,295,2010,1,13,6,4,,,,-28,75.87,1025,-25,SW,8.2311,,,0,0,
295,296,2010,1,13,7,4,,,,-27,76.07,1025,-24,SW,9.7744,,,0,0,
296,297,2010,1,13,8,4,,,,-28,69.32,1026,-24,SW,11.3177,,,0,0,
297,298,2010,1,13,9,4,,,,-26,63.93,1026,-21,SW,12.861,,,0,0,
298,299,2010,1,13,10,4,,,,-24,59.18,1026,-18,SW,14.9188,,,0,0,
299,300,2010,1,13,11,4,,,,-23,54.68,1026,-16,SW,16.4621,,,0,0,
300,301,2010,1,13,12,4,,,,-23,50.31,1025,-15,SW,18.0054,,,0,0,
301,302,2010,1,13,13,4,,,,-22,50.63,1025,-14,SW,19.0343,,,0,0,
