,No,year,month,day,hour,season,HUMI,TEMP,cbwd,TEMP_new,cbwd_new_bfill,cbwd_new_ffill
47,48,2010,1,2,23,4,75.67,-26.0,SE,-26.0,SE,SE
48,49,2010,1,3,0,4,75.47,-27.0,SE,-27.0,SE,SE
49,50,2010,1,3,1,4,75.67,-26.0,SE,-26.0,SE,SE
50,51,2010,1,3,2,4,75.67,-26.0,SE,-26.0,SE,SE
51,52,2010,1,3,3,4,75.47,-27.0,SE,-27.0,SE,SE
52,53,2010,1,3,4,4,68.59,-27.0,cv,-27.0,cv,cv
53,54,2010,1,3,5,4,75.27,-28.0,cv,-28.0,cv,cv
54,55,2010,1,3,6,4,75.27,-28.0,NE,-28.0,NE,NE
55,56,2010,1,3,7,4,75.27,-28.0,NE,-28.0,NE,NE
56,57,2010,1,3,8,4,68.59,-27.0,NE,-27.0,NE,NE
57,58,2010,1,3,9,4,75.87,-25.0,NE,-25.0,NE,NE
58,59,2010,1,3,10,4,69.56,-23.0,NE,-23.0,NE,NE
59,60,2010,1,3,11,4,70.03,-21.0,NE,-21.0,NE,NE
60,61,2010,1,3,12,4,70.49,-19.0,NE,-19.0,NE,NE
61,62,2010,1,3,13,4,64.97,-17.0,NE,-17.0,NE,NE
62,63,2010,1,3,14,4,59.74,-16.0,NE,-16.0,NE,NE
63,64,2010,1,3,15,4,54.68,-16.0,NE,-16.0,NE,NE
64,65,2010,1,3,16,4,54.68,-16.0,NE,-16.0,NE,NE
65,66,2010,1,3,17,4,59.46,-17.0,NE,-17.0,NE,NE
66,67,2010,1,3,18,4,59.46,-17.0,NE,-17.0,NE,NE
67,68,2010,1,3,19,4,59.46,-17.0,NE,-17.0,NE,NE
68,69,2010,1,3,20,4,59.74,-16.0,NW,-16.0,NW,NW
69,70,2010,1,3,21,4,59.74,-16.0,NW,-16.0,NW,NW
70,71,2010,1,3,22,4,64.97,-17.0,NE,-17.0,NE,NE
71,72,2010,1,3,23,4,64.97,-17.0,NE,-17.0,NE,NE
72,73,2010,1,4,0,4,70.71,-18.0,NE,-18.0,NE,NE
73,74,2010,1,4,1,4,70.71,-18.0,NW,-18.0,NW,NW
74,75,2010,1,4,2,4,70.71,-18.0,NW,-18.0,NW,NW
75,76,2010,1,4,3,4,64.72,-18.0,NW,-18.0,NW,NW
76,77,2010,1,4,4,4,64.72,-18.0,NW,-18.0,NW,NW
77,78,2010,1,4,5,4,64.46,-19.0,NW,-19.0,NW,NW
78,79,2010,1,4,6,4,70.26,-20.0,NE,-20.0,NE,NE
79,80,2010,1,4,7,4,64.19,-20.0,NW,-20.0,NW,NW
80,81,2010,1,4,8,4,64.19,-20.0,NE,-20.0,NE,NE
81,82,2010,1,4,9,4,70.26,-20.0,NE,-20.0,NE,NE
82,83,2010,1,4,10,4,59.18,-18.0,NW,-18.0,NW,NW
83,84,2010,1,4,11,4,54.37,-17.0,NW,-17.0,NW,NW
84,85,2010,1,4,12,4,54.37,-17.0,NE,-17.0,NE,NE
85,86,2010,1,4,13,4,54.37,-17.0,NW,-17.0,NW,NW
86,87,2010,1,4,14,4,54.37,-17.0,NW,-17.0,NW,NW
87,88,2010,1,4,15,4,59.46,-17.0,NW,-17.0,NW,NW
88,89,2010,1,4,16,4,64.72,-18.0,NW,-18.0,NW,NW
89,90,2010,1,4,17,4,64.72,-18.0,NW,-18.0,NW,NW
90,91,2010,1,4,18,4,64.46,-19.0,NE,-19.0,NE,NE
91,92,2010,1,4,19,4,64.46,-19.0,NE,-19.0,NE,NE
92,93,2010,1,4,20,4,70.26,-20.0,NE,-20.0,NE,NE
93,94,2010,1,4,21,4,70.26,-20.0,NE,-20.0,NE,NE
94,95,2010,1,4,22,4,76.46,-22.0,cv,-22.0,cv,cv
95,96,2010,1,4,23,4,76.07,-24.0,SW,-24.0,SW,SW
96,97,2010,1,5,0,4,83.4,-24.0,SE,-24.0,SE,SE
97,98,2010,1,5,1,4,76.46,-22.0,SW,-22.0,SW,SW
98,99,2010,1,5,2,4,83.68,-22.0,SW,-22.0,SW,SW
99,100,2010,1,5,3,4,76.65,-21.0,SW,-21.0,SW,SW
100,101,2010,1,5,4,4,76.26,-23.0,cv,-23.0,cv,cv
101,102,2010,1,5,5,4,76.07,-24.0,SE,-24.0,SE,SE
102,103,2010,1,5,6,4,83.4,-24.0,SE,-24.0,SE,SE
103,104,2010,1,5,7,4,76.07,-24.0,SW,-24.0,SW,SW
104,105,2010,1,5,8,4,76.26,-23.0,SW,-23.0,SW,SW
105,106,2010,1,5,9,4,70.03,-21.0,SW,-21.0,SW,SW
106,107,2010,1,5,10,4,64.46,-19.0,SW,-19.0,SW,SW
107,108,2010,1,5,11,4,59.18,-18.0,SW,-18.0,SW,SW
108,109,2010,1,5,12,4,54.37,-17.0,SW,-17.0,SW,SW
109,110,2010,1,5,13,4,54.68,-16.0,SW,-16.0,SW,SW
110,111,2010,1,5,14,4,54.68,-16.0,NW,-16.0,NW,NW
111,112,2010,1,5,15,4,54.68,-16.0,NW,-16.0,NW,NW
112,113,2010,1,5,16,4,59.46,-17.0,NW,-17.0,NW,NW
113,114,2010,1,5,17,4,59.18,-18.0,NW,-18.0,NW,NW
114,115,2010,1,5,18,4,64.19,-20.0,cv,-20.0,cv,cv
115,116,2010,1,5,19,4,70.03,-21.0,SE,-21.0,SE,SE
116,117,2010,1,5,20,4,76.46,-22.0,SE,-22.0,SE,SE
117,118,2010,1,5,21,4,70.03,-21.0,SE,-21.0,SE,SE
118,119,2010,1,5,22,4,76.65,-21.0,SE,-21.0,SE,SE
119,120,2010,1,5,23,4,70.26,-20.0,SE,-20.0,SE,SE
120,121,2010,1,6,0,4,76.65,-21.0,cv,-21.0,cv,cv
121,122,2010,1,6,1,4,76.46,-22.0,SE,-22.0,SE,SE
122,123,2010,1,6,2,4,76.26,-23.0,SE,-23.0,SE,SE
123,124,2010,1,6,3,4,76.07,-24.0,SE,-24.0,SE,SE
124,125,2010,1,6,4,4,76.07,-24.0,SE,-24.0,SE,SE
125,126,2010,1,6,5,4,75.87,-25.0,SW,-25.0,SW,SW
126,127,2010,1,6,6,4,75.87,-25.0,SE,-25.0,SE,SE
127,128,2010,1,6,7,4,75.87,-25.0,SE,-25.0,SE,SE
128,129,2010,1,6,8,4,83.26,-25.0,SE,-25.0,SE,SE
129,130,2010,1,6,9,4,76.46,-22.0,SW,-22.0,SW,SW
130,131,2010,1,6,10,4,76.84,-20.0,SW,-20.0,SW,SW
131,132,2010,1,6,11,4,70.71,-18.0,SW,-18.0,SW,SW
132,133,2010,1,6,12,4,70.94,-17.0,SW,-17.0,SW,SW
133,134,2010,1,6,13,4,71.16,-16.0,SW,-16.0,SW,SW
134,135,2010,1,6,14,4,71.38,-15.0,SW,-15.0,SW,SW
135,136,2010,1,6,15,4,71.38,-15.0,NW,-15.0,NW,NW
136,137,2010,1,6,16,4,77.57,-16.0,NW,-16.0,NW,NW
137,138,2010,1,6,17,4,71.16,-16.0,NW,-16.0,NW,NW
138,139,2010,1,6,18,4,77.21,-18.0,SE,-18.0,SE,SE
139,140,2010,1,6,19,4,84.09,-19.0,SE,-19.0,SE,SE
140,141,2010,1,6,20,4,77.39,-17.0,SE,-17.0,SE,SE
141,142,2010,1,6,21,4,77.39,-17.0,SE,-17.0,SE,SE
142,143,2010,1,6,22,4,77.39,-17.0,cv,-17.0,cv,cv
143,144,2010,1,6,23,4,84.36,-17.0,SW,-17.0,SW,SW
144,145,2010,1,7,0,4,77.39,-17.0,SE,-17.0,SE,SE
145,146,2010,1,7,1,4,84.23,-18.0,SE,-18.0,SE,SE
146,147,2010,1,7,2,4,84.09,-19.0,SE,-19.0,SE,SE
147,148,2010,1,7,3,4,84.09,-19.0,SE,-19.0,SE,SE
148,149,2010,1,7,4,4,84.23,-18.0,cv,-18.0,cv,cv
149,150,2010,1,7,5,4,84.23,-18.0,SE,-18.0,SE,SE
150,151,2010,1,7,6,4,84.23,-18.0,cv,-18.0,cv,cv
151,152,2010,1,7,7,4,84.36,-17.0,SE,-17.0,SE,SE
152,153,2010,1,7,8,4,84.36,-17.0,SE,-17.0,SE,SE
153,154,2010,1,7,9,4,84.36,-17.0,SW,-17.0,SW,SW
154,155,2010,1,7,10,4,77.75,-15.0,cv,-15.0,cv,cv
155,156,2010,1,7,11,4,65.98,-13.0,cv,-13.0,cv,cv
156,157,2010,1,7,12,4,71.81,-13.0,SW,-13.0,SW,SW
157,158,2010,1,7,13,4,66.47,-11.0,cv,-11.0,cv,cv
158,159,2010,1,7,14,4,66.47,-11.0,SW,-11.0,SW,SW
159,160,2010,1,7,15,4,66.47,-11.0,NE,-11.0,NE,NE
160,161,2010,1,7,16,4,72.02,-12.0,NE,-12.0,NE,NE
161,162,2010,1,7,17,4,71.81,-13.0,NE,-13.0,NE,NE
162,163,2010,1,7,18,4,77.75,-15.0,NE,-15.0,NE,NE
163,164,2010,1,7,19,4,77.75,-15.0,NE,-15.0,NE,NE
164,165,2010,1,7,20,4,77.39,-17.0,NE,-17.0,NE,NE
165,166,2010,1,7,21,4,83.96,-20.0,NE,-20.0,NE,NE
166,167,2010,1,7,22,4,83.82,-21.0,cv,-21.0,cv,cv
167,168,2010,1,7,23,4,83.82,-21.0,SE,-21.0,SE,SE
168,169,2010,1,8,0,4,83.82,-21.0,SE,-21.0,SE,SE
169,170,2010,1,8,1,4,76.84,-20.0,SW,-20.0,SW,SW
170,171,2010,1,8,2,4,83.96,-20.0,SE,-20.0,SE,SE
171,172,2010,1,8,3,4,83.82,-21.0,cv,-21.0,cv,cv
172,173,2010,1,8,4,4,84.36,-17.0,SE,-17.0,SE,SE
173,174,2010,1,8,5,4,84.49,-16.0,SE,-16.0,SE,SE
174,175,2010,1,8,6,4,77.75,-15.0,NW,-15.0,NW,NW
175,176,2010,1,8,7,4,84.62,-15.0,NE,-15.0,NE,NE
176,177,2010,1,8,8,4,84.62,-15.0,NE,-15.0,NE,NE
177,178,2010,1,8,9,4,84.74,-14.0,cv,-14.0,cv,cv
178,179,2010,1,8,10,4,84.87,-13.0,cv,-13.0,cv,cv
179,180,2010,1,8,11,4,78.44,-11.0,SE,-11.0,SE,SE
180,181,2010,1,8,12,4,78.61,-10.0,NE,-10.0,NE,NE
181,182,2010,1,8,13,4,72.85,-8.0,NE,-8.0,NE,NE
182,183,2010,1,8,14,4,72.85,-8.0,NE,-8.0,NE,NE
183,184,2010,1,8,15,4,67.42,-7.0,NE,-7.0,NE,NE
184,185,2010,1,8,16,4,72.65,-9.0,NW,-9.0,NW,NW
185,186,2010,1,8,17,4,72.44,-10.0,NE,-10.0,NE,NE
186,187,2010,1,8,18,4,78.61,-10.0,NE,-10.0,NE,NE
187,188,2010,1,8,19,4,85.11,-11.0,NE,-11.0,NE,NE
188,189,2010,1,8,20,4,84.99,-12.0,NE,-12.0,NE,NE
189,190,2010,1,8,21,4,92.16,-13.0,NE,-13.0,NE,NE
190,191,2010,1,8,22,4,84.87,-13.0,NE,-13.0,NE,NE
191,192,2010,1,8,23,4,84.99,-12.0,NE,-12.0,NE,NE
192,193,2010,1,9,0,4,85.11,-11.0,NE,-11.0,NE,NE
193,194,2010,1,9,1,4,85.11,-11.0,NE,-11.0,NE,NE
194,195,2010,1,9,2,4,85.11,-11.0,SE,-11.0,SE,SE
195,196,2010,1,9,3,4,85.11,-11.0,SE,-11.0,SE,SE
196,197,2010,1,9,4,4,85.11,-11.0,cv,-11.0,cv,cv
197,198,2010,1,9,5,4,85.11,-11.0,NE,-11.0,NE,NE
198,199,2010,1,9,6,4,85.23,-10.0,NE,-10.0,NE,NE
199,200,2010,1,9,7,4,85.23,-10.0,NE,-10.0,NE,NE
200,201,2010,1,9,8,4,92.36,-10.0,NE,-10.0,NE,NE
201,202,2010,1,9,9,4,92.42,-9.0,NE,-9.0,NE,NE
202,203,2010,1,9,10,4,85.47,-8.0,NE,-8.0,NE,NE
203,204,2010,1,9,11,4,85.59,-7.0,NE,-7.0,NE,NE
204,205,2010,1,9,12,4,79.26,-6.0,NE,-6.0,NE,NE
205,206,2010,1,9,13,4,79.26,-6.0,NE,-6.0,NE,NE
206,207,2010,1,9,14,4,79.26,-6.0,NW,-6.0,NW,NW
207,208,2010,1,9,15,4,85.59,-7.0,NW,-7.0,NW,NW
208,209,2010,1,9,16,4,78.94,-8.0,NW,-8.0,NW,NW
209,210,2010,1,9,17,4,72.85,-8.0,NW,-8.0,NW,NW
210,211,2010,1,9,18,4,78.77,-9.0,NW,-9.0,NW,NW
211,212,2010,1,9,19,4,78.61,-10.0,NE,-10.0,NE,NE
212,213,2010,1,9,20,4,78.44,-11.0,NW,-11.0,NW,NW
213,214,2010,1,9,21,4,84.99,-12.0,NW,-12.0,NW,NW
214,215,2010,1,9,22,4,92.09,-14.0,NW,-14.0,NW,NW
215,216,2010,1,9,23,4,78.27,-12.0,NW,-12.0,NW,NW
216,217,2010,1,10,0,4,84.36,-17.0,SW,-17.0,SW,SW
217,218,2010,1,10,1,4,91.88,-17.0,SW,-17.0,SW,SW
218,219,2010,1,10,2,4,84.49,-16.0,SW,-16.0,SW,SW
219,220,2010,1,10,3,4,91.95,-16.0,cv,-16.0,cv,cv
220,221,2010,1,10,4,4,84.62,-15.0,cv,-15.0,cv,cv
221,222,2010,1,10,5,4,92.02,-15.0,cv,-15.0,cv,cv
222,223,2010,1,10,6,4,84.74,-14.0,cv,-14.0,cv,cv
223,224,2010,1,10,7,4,84.74,-14.0,SE,-14.0,SE,SE
224,225,2010,1,10,8,4,84.74,-14.0,SE,-14.0,SE,SE
225,226,2010,1,10,9,4,84.87,-13.0,cv,-13.0,cv,cv
226,227,2010,1,10,10,4,85.11,-11.0,cv,-11.0,cv,cv
227,228,2010,1,10,11,4,78.61,-10.0,cv,-10.0,cv,cv
228,229,2010,1,10,12,4,72.44,-10.0,NW,-10.0,NW,NW
229,230,2010,1,10,13,4,72.44,-10.0,NW,-10.0,NW,NW
230,231,2010,1,10,14,4,78.61,-10.0,NW,-10.0,NW,NW
231,232,2010,1,10,15,4,78.61,-10.0,NW,-10.0,NW,NW
232,233,2010,1,10,16,4,78.44,-11.0,NW,-11.0,NW,NW
233,234,2010,1,10,17,4,78.1,-13.0,NW,-13.0,NW,NW
234,235,2010,1,10,18,4,78.1,-13.0,NE,-13.0,NE,NE
235,236,2010,1,10,19,4,84.74,-14.0,NE,-14.0,NE,NE
236,237,2010,1,10,20,4,84.74,-14.0,NE,-14.0,NE,NE
237,238,2010,1,10,21,4,84.36,-17.0,SW,-17.0,SW,SW
238,239,2010,1,10,22,4,84.23,-18.0,cv,-18.0,cv,cv
239,240,2010,1,10,23,4,84.36,-17.0,SE,-17.0,SE,SE
240,241,2010,1,11,0,4,84.49,-16.0,SE,-16.0,SE,SE
241,242,2010,1,11,1,4,84.09,-19.0,SE,-19.0,SE,SE
242,243,2010,1,11,2,4,83.96,-20.0,SW,-20.0,SW,SW
243,244,2010,1,11,3,4,83.82,-21.0,SW,-21.0,SW,SW
244,245,2010,1,11,4,4,76.65,-21.0,cv,-21.0,cv,cv
245,246,2010,1,11,5,4,83.54,-23.0,SE,-23.0,SE,SE
246,247,2010,1,11,6,4,76.46,-22.0,SW,-22.0,SW,SW
247,248,2010,1,11,7,4,83.68,-22.0,SW,-22.0,SW,SW
248,249,2010,1,11,8,4,83.54,-23.0,SW,-23.0,SW,SW
249,250,2010,1,11,9,4,83.96,-20.0,SW,-20.0,SW,SW
250,251,2010,1,11,10,4,84.36,-17.0,SW,-17.0,SW,SW
251,252,2010,1,11,11,4,77.75,-15.0,SW,-15.0,SW,SW
252,253,2010,1,11,12,4,60.85,-12.0,NW,-12.0,NW,NW
253,254,2010,1,11,13,4,55.87,-12.0,NW,-12.0,NW,NW
254,255,2010,1,11,14,4,55.87,-12.0,NW,-12.0,NW,NW
255,256,2010,1,11,15,4,51.25,-12.0,NW,-12.0,NW,NW
256,257,2010,1,11,16,4,55.57,-13.0,NW,-13.0,NW,NW
257,258,2010,1,11,17,4,65.23,-16.0,NW,-16.0,NW,NW
258,259,2010,1,11,18,4,65.23,-16.0,NW,-16.0,NW,NW
259,260,2010,1,11,19,4,59.74,-16.0,SW,-16.0,SW,SW
260,261,2010,1,11,20,4,76.65,-21.0,SW,-21.0,SW,SW
261,262,2010,1,11,21,4,76.65,-21.0,SW,-21.0,SW,SW
262,263,2010,1,11,22,4,76.65,-21.0,SW,-21.0,SW,SW
263,264,2010,1,11,23,4,76.84,-20.0,SW,-20.0,SW,SW
264,265,2010,1,12,0,4,,,,-20.5,SW,SW
265,266,2010,1,12,1,4,76.65,-21.0,SW,-21.0,SW,SW
266,267,2010,1,12,2,4,76.26,-23.0,SW,-23.0,SW,SW
267,268,2010,1,12,3,4,76.26,-23.0,SW,-23.0,SW,SW
268,269,2010,1,12,4,4,76.26,-23.0,SW,-23.0,SW,SW
269,270,2010,1,12,5,4,69.32,-24.0,SW,-24.0,SW,SW
270,271,2010,1,12,6,4,75.87,-25.0,SW,-25.0,SW,SW
271,272,2010,1,12,7,4,75.67,-26.0,SW,-26.0,SW,SW
272,273,2010,1,12,8,4,75.87,-25.0,SE,-25.0,SE,SE
273,274,2010,1,12,9,4,63.93,-21.0,SW,-21.0,SW,SW
274,275,2010,1,12,10,4,49.68,-17.0,SW,-17.0,SW,SW
275,276,2010,1,12,11,4,49.68,-17.0,SW,-17.0,SW,SW
276,277,2010,1,12,12,4,49.68,-17.0,SW,-17.0,SW,SW
277,278,2010,1,12,13,4,45.68,-16.0,SW,-16.0,SW,SW
278,279,2010,1,12,14,4,45.68,-16.0,SW,-16.0,SW,SW
279,280,2010,1,12,15,4,45.68,-16.0,SW,-16.0,SW,SW
280,281,2010,1,12,16,4,49.68,-17.0,NW,-17.0,NW,NW
281,282,2010,1,12,17,4,58.89,-19.0,NW,-19.0,NW,NW
282,283,2010,1,12,18,4,63.93,-21.0,SW,-21.0,SW,SW
283,284,2010,1,12,19,4,69.56,-23.0,SW,-23.0,SW,SW
284,285,2010,1,12,20,4,63.93,-21.0,SW,-21.0,SW,SW
285,286,2010,1,12,21,4,69.79,-22.0,SW,-22.0,SW,SW
286,287,2010,1,12,22,4,69.56,-23.0,SE,-23.0,SE,SE
287,288,2010,1,12,23,4,69.32,-24.0,SE,-24.0,SE,SE
288,289,2010,1,13,0,4,69.56,-23.0,SW,-23.0,SW,SW
289,290,2010,1,13,1,4,76.07,-24.0,SW,-24.0,SW,SW
290,291,2010,1,13,2,4,75.87,-25.0,SW,-25.0,SW,SW
291,292,2010,1,13,3,4,76.07,-24.0,SW,-24.0,SW,SW
292,293,2010,1,13,4,4,75.87,-25.0,SW,-25.0,SW,SW
293,294,2010,1,13,5,4,75.87,-25.0,SW,-25.0,SW,SW
294,295,2010,1,13,6,4,75.87,-25.0,SW,-25.0,SW,SW
295,296,2010,1,13,7,4,76.07,-24.0,SW,-24.0,SW,SW
296,297,2010,1,13,8,4,69.32,-24.0,SW,-24.0,SW,SW
297,298,2010,1,13,9,4,63.93,-21.0,SW,-21.0,SW,SW
298,299,2010,1,13,10,4,59.18,-18.0,SW,-18.0,SW,SW
299,300,2010,1,13,11,4,54.68,-16.0,SW,-16.0,SW,SW
300,301,2010,1,13,12,4,50.31,-15.0,SW,-15.0,SW,SW
301,302,2010,1,13,13,4,50.63,-14.0,SW,-14.0,SW,SW
302,303,2010,1,13,14,4,46.66,-13.0,NW,-13.0,NW,NW
303,304,2010,1,13,15,4,50.94,-13.0,SW,-13.0,SW,SW
304,305,2010,1,13,16,4,50.63,-14.0,SW,-14.0,SW,SW
305,306,2010,1,13,17,4,59.74,-16.0,SW,-16.0,SW,SW
306,307,2010,1,13,18,4,59.46,-17.0,SE,-17.0,SE,SE
307,308,2010,1,13,19,4,59.46,-17.0,SE,-17.0,SE,SE
308,309,2010,1,13,20,4,64.46,-19.0,SE,-19.0,SE,SE
309,310,2010,1,13,21,4,70.26,-20.0,SE,-20.0,SE,SE
310,311,2010,1,13,22,4,70.26,-20.0,SE,-20.0,SE,SE
311,312,2010,1,13,23,4,70.26,-20.0,SE,-20.0,SE,SE
312,313,2010,1,14,0,4,70.26,-20.0,SE,-20.0,SE,SE
313,314,2010,1,14,1,4,70.49,-19.0,SE,-19.0,SE,SE
314,315,2010,1,14,2,4,70.49,-19.0,SE,-19.0,SE,SE
315,316,2010,1,14,3,4,70.49,-19.0,SE,-19.0,SE,SE
316,317,2010,1,14,4,4,70.71,-18.0,SE,-18.0,SE,SE
317,318,2010,1,14,5,4,64.97,-17.0,SE,-17.0,SE,SE
318,319,2010,1,14,6,4,64.72,-18.0,SE,-18.0,SE,SE
319,320,2010,1,14,7,4,64.72,-18.0,SE,-18.0,SE,SE
320,321,2010,1,14,8,4,64.97,-17.0,SE,-17.0,SE,SE
321,322,2010,1,14,9,4,65.48,-15.0,SE,-15.0,SE,SE
322,323,2010,1,14,10,4,55.87,-12.0,SE,-12.0,SE,SE
323,324,2010,1,14,11,4,56.45,-10.0,SE,-10.0,SE,SE
324,325,2010,1,14,12,4,48.56,-7.0,SW,-7.0,SW,SW
325,326,2010,1,14,13,4,52.77,-7.0,SW,-7.0,SW,SW
326,327,2010,1,14,14,4,57.3,-7.0,SW,-7.0,SW,SW
327,328,2010,1,14,15,4,67.42,-7.0,SW,-7.0,SW,SW
328,329,2010,1,14,16,4,85.47,-8.0,SE,-8.0,SE,SE
329,330,2010,1,14,17,4,92.42,-9.0,SE,-9.0,SE,SE
330,331,2010,1,14,18,4,92.42,-9.0,SE,-9.0,SE,SE
331,332,2010,1,14,19,4,92.42,-9.0,SE,-9.0,SE,SE
332,333,2010,1,14,20,4,92.36,-10.0,SE,-10.0,SE,SE
333,334,2010,1,14,21,4,85.11,-11.0,cv,-11.0,cv,cv
334,335,2010,1,14,22,4,85.11,-11.0,cv,-11.0,cv,cv
335,336,2010,1,14,23,4,92.36,-10.0,NW,-10.0,NW,NW
336,337,2010,1,15,0,4,85.23,-10.0,NW,-10.0,NW,NW
337,338,2010,1,15,1,4,92.09,-14.0,NW,-14.0,NW,NW
338,339,2010,1,15,2,4,84.49,-16.0,NW,-16.0,NW,NW
339,340,2010,1,15,3,4,83.96,-20.0,NE,-20.0,NE,NE
340,341,2010,1,15,4,4,,,,-20.75,SW,NE
341,342,2010,1,15,5,4,,,,-21.5,SW,NE
342,343,2010,1,15,6,4,,,,-22.25,SW,NE
343,344,2010,1,15,7,4,76.26,-23.0,SW,-23.0,SW,SW
344,345,2010,1,15,8,4,83.54,-23.0,SW,-23.0,SW,SW
345,346,2010,1,15,9,4,83.82,-21.0,SE,-21.0,SE,SE
346,347,2010,1,15,10,4,77.21,-18.0,SW,-18.0,SW,SW
347,348,2010,1,15,11,4,77.57,-16.0,SW,-16.0,SW,SW
348,349,2010,1,15,12,4,71.6,-14.0,cv,-14.0,cv,cv
349,350,2010,1,15,13,4,71.6,-14.0,SW,-14.0,SW,SW
350,351,2010,1,15,14,4,71.6,-14.0,SW,-14.0,SW,SW
351,352,2010,1,15,15,4,71.6,-14.0,SW,-14.0,SW,SW
352,353,2010,1,15,16,4,71.38,-15.0,SW,-15.0,SW,SW
353,354,2010,1,15,17,4,71.16,-16.0,SW,-16.0,SW,SW
354,355,2010,1,15,18,4,77.21,-18.0,SW,-18.0,SW,SW
355,356,2010,1,15,19,4,70.49,-19.0,SE,-19.0,SE,SE
356,357,2010,1,15,20,4,76.84,-20.0,SE,-20.0,SE,SE
357,358,2010,1,15,21,4,76.84,-20.0,SE,-20.0,SE,SE
358,359,2010,1,15,22,4,83.54,-23.0,SE,-23.0,SE,SE
359,360,2010,1,15,23,4,83.82,-21.0,SE,-21.0,SE,SE
360,361,2010,1,16,0,4,76.46,-22.0,cv,-22.0,cv,cv
361,362,2010,1,16,1,4,83.54,-23.0,SE,-23.0,SE,SE
362,363,2010,1,16,2,4,83.54,-23.0,SE,-23.0,SE,SE
363,364,2010,1,16,3,4,83.68,-22.0,SE,-22.0,SE,SE
364,365,2010,1,16,4,4,76.65,-21.0,SE,-21.0,SE,SE
365,366,2010,1,16,5,4,76.65,-21.0,SE,-21.0,SE,SE
